Seventh_OA,Seventh_IA,Wayne_OA,Wayne_IA,Locust_EA,Locust_WA,Seventh_OG,Seventh_IG,Wayne_OG,Wayne_IG,Locust_EG,Locust_WG,Seventh_OR,Seventh_IR,Wayne_OR,Wayne_IR,Locust_ER,Locust_WR
3,,,7,,,,,,,,,,,,,,
67,,,24,,,,,,,,,,,,,,
,,,8,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,
,,,36,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,11,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,13,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,
,,,34,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,
,,,23,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,
,,,48,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,39,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,32,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,33,,,,,,,,,,,,,,
